OpportunityID,AccountName,Industry,Stage,Region,SalesRep,Product,ExpectedRevenue,Probability,CreatedDate,CloseDate
49,Stark Industries,Finance,Closed Lost,South America,David,CRM System,95434,16,2024-08-07,2024-11-07
50,Wayne Enterprises,Manufacturing,Proposal,North America,Alice,AI Module,45688,96,2024-09-23,2024-12-09
51,Acme Corp,Manufacturing,Prospecting,Asia,David,Security Package,186014,70,2024-07-14,2024-07-26
52,Globex,Finance,Negotiation,South America,David,CRM System,126028,61,2024-06-17,2024-10-12
53,Globex,Manufacturing,Closed Lost,South America,Eva,Analytics Suite,131249,66,2024-10-18,2025-02-12
54,Globex,Technology,Negotiation,Asia,Frank,Security Package,27314,88,2024-06-05,2024-07-18
55,Wayne Enterprises,Technology,Closed Lost,Middle East,Bob,Cloud Platform,100119,55,2024-07-04,2024-07-14
56,Acme Corp,Healthcare,Prospecting,Asia,Alice,Analytics Suite,40003,74,2024-03-22,2024-06-21
57,Wayne Enterprises,Retail,Negotiation,South America,David,AI Module,12505,30,2024-03-10,2024-06-28
58,Initech,Finance,Proposal,Europe,Charlie,CRM System,77551,46,2024-08-13,2024-09-15
59,Soylent,Technology,Closed Lost,North America,Frank,CRM System,111701,28,2024-08-23,2024-11-06
60,Wayne Enterprises,Technology,Qualification,North America,Bob,Analytics Suite,90859,60,2024-09-18,2024-12-02
61,Umbrella,Technology,Closed Lost,Asia,Alice,Cloud Platform,36612,45,2024-10-07,2024-10-18
62,Stark Industries,Technology,Negotiation,Asia,David,CRM System,62201,35,2024-08-27,2024-09-26
63,Umbrella,Healthcare,Qualification,Middle East,Frank,Cloud Platform,21025,69,2024-01-14,2024-04-09
64,Initech,Manufacturing,Closed Lost,North America,David,Cloud Platform,42171,25,2024-05-31,2024-08-23
65,Wayne Enterprises,Technology,Negotiation,Asia,Bob,Security Package,64292,98,2024-07-22,2024-11-04
66,Soylent,Healthcare,Negotiation,South America,Charlie,Analytics Suite,36455,32,2024-06-22,2024-08-09
67,Initech,Retail,Closed Won,South America,David,Analytics Suite,5919,76,2024-08-23,2024-11-10
68,Acme Corp,Manufacturing,Negotiation,Europe,Eva,Analytics Suite,123026,33,2024-07-13,2024-09-17
69,Acme Corp,Retail,Closed Won,Europe,Eva,AI Module,162581,43,2024-01-08,2024-02-08
70,Soylent,Manufacturing,Prospecting,Asia,Frank,Analytics Suite,139989,82,2024-05-23,2024-08-31
71,Hooli,Manufacturing,Negotiation,Middle East,Bob,CRM System,18837,57,2024-05-03,2024-07-13
72,Hooli,Manufacturing,Closed Lost,Middle East,Alice,CRM System,109403,69,2024-02-12,2024-06-02
73,Stark Industries,Healthcare,Negotiation,Middle East,Bob,Analytics Suite,152265,66,2024-08-18,2024-11-08
74,Acme Corp,Finance,Negotiation,Middle East,Frank,CRM System,32651,89,2024-08-29,2024-09-16
75,Soylent,Retail,Closed Won,North America,Bob,Security Package,186388,29,2024-06-06,2024-07-14
76,Globex,Manufacturing,Negotiation,Middle East,Alice,AI Module,28560,88,2024-04-20,2024-08-09
77,Wayne Enterprises,Manufacturing,Proposal,Europe,Alice,AI Module,154491,48,2024-02-01,2024-02-25
78,Soylent,Technology,Prospecting,Europe,Alice,Cloud Platform,89861,47,2024-06-09,2024-09-08
79,Globex,Technology,Qualification,North America,Charlie,Cloud Platform,153895,45,2024-04-11,2024-06-10
80,Initech,Healthcare,Closed Lost,Asia,David,AI Module,112383,21,2024-01-17,2024-02-28
81,Initech,Manufacturing,Qualification,South America,Bob,Analytics Suite,65715,38,2024-06-08,2024-08-12
82,Wayne Enterprises,Retail,Closed Won,Europe,Eva,Analytics Suite,52071,52,2024-05-06,2024-08-12
83,Acme Corp,Retail,Closed Lost,Europe,Alice,Security Package,95773,55,2024-04-25,2024-05-11
84,Globex,Technology,Prospecting,North America,Alice,AI Module,21653,91,2024-01-24,2024-02-18
85,Globex,Technology,Prospecting,Europe,Alice,CRM System,121013,51,2024-08-05,2024-11-28
86,Wayne Enterprises,Finance,Qualification,South America,David,CRM System,71076,88,2024-10-10,2025-01-28
87,Globex,Manufacturing,Closed Won,North America,Eva,Cloud Platform,100570,50,2024-08-09,2024-09-03
88,Globex,Manufacturing,Proposal,Middle East,Frank,AI Module,21285,45,2024-10-06,2025-01-16
89,Umbrella,Technology,Prospecting,Middle East,Frank,Cloud Platform,96453,72,2024-08-17,2024-11-24
90,Stark Industries,Technology,Closed Lost,Middle East,Bob,Security Package,58658,47,2024-10-23,2024-11-16
91,Wayne Enterprises,Technology,Qualification,South America,David,Cloud Platform,103610,65,2024-09-25,2024-10-27
92,Umbrella,Finance,Proposal,Asia,Charlie,Security Package,96663,44,2024-06-12,2024-08-27
93,Stark Industries,Finance,Proposal,Europe,Frank,AI Module,29494,41,2024-07-11,2024-10-19
94,Initech,Finance,Proposal,South America,Frank,Security Package,151241,93,2024-01-18,2024-02-14
95,Umbrella,Manufacturing,Closed Lost,Asia,Eva,Cloud Platform,30709,29,2024-02-25,2024-06-22
96,Acme Corp,Finance,Negotiation,North America,Eva,AI Module,159393,67,2024-10-11,2024-12-07
97,Stark Industries,Manufacturing,Proposal,South America,Charlie,Cloud Platform,125338,33,2024-06-25,2024-07-23
98,Umbrella,Technology,Proposal,North America,Bob,CRM System,151421,86,2024-05-10,2024-08-16
99,Hooli,Manufacturing,Closed Lost,Asia,Eva,Analytics Suite,190238,90,2024-10-18,2024-11-05
100,Soylent,Retail,Qualification,South America,Alice,Security Package,132515,65,2024-09-23,2024-10-25
101,Globex,Healthcare,Closed Won,Europe,Bob,Security Package,143699,40,2024-02-11,2024-05-20
102,Initech,Technology,Negotiation,Asia,Frank,Analytics Suite,19336,13,2024-03-13,2024-06-04
103,Soylent,Retail,Qualification,Europe,Frank,Security Package,79262,96,2024-04-18,2024-05-13
104,Umbrella,Healthcare,Closed Lost,North America,David,Security Package,99021,11,2024-01-27,2024-05-11
105,Soylent,Retail,Qualification,Europe,Charlie,CRM System,190981,24,2024-07-29,2024-11-24
106,Stark Industries,Healthcare,Proposal,South America,Alice,AI Module,84767,37,2024-05-28,2024-08-06
107,Soylent,Healthcare,Negotiation,South America,Alice,Security Package,102094,10,2024-01-14,2024-03-09
108,Wayne Enterprises,Finance,Closed Won,Middle East,Alice,CRM System,33502,19,2024-01-15,2024-02-20
109,Wayne Enterprises,Retail,Closed Won,Europe,David,Security Package,41673,45,2024-05-19,2024-06-13
110,Soylent,Retail,Qualification,Middle East,Alice,AI Module,195391,88,2024-07-05,2024-09-21
111,Umbrella,Technology,Negotiation,Asia,Eva,CRM System,68671,42,2024-09-21,2025-01-17
112,Soylent,Manufacturing,Qualification,North America,Alice,Security Package,28450,68,2024-02-10,2024-03-01
113,Soylent,Retail,Closed Lost,Asia,Bob,CRM System,157223,36,2024-02-18,2024-05-22
114,Soylent,Retail,Qualification,North America,Eva,Analytics Suite,115873,22,2024-06-11,2024-08-07
115,Acme Corp,Technology,Closed Won,Europe,Alice,Security Package,97136,62,2024-06-14,2024-08-09
116,Stark Industries,Technology,Closed Won,South America,Frank,Cloud Platform,143763,67,2024-04-19,2024-06-15
117,Wayne Enterprises,Finance,Qualification,Europe,David,AI Module,27907,55,2024-10-23,2025-01-10
118,Soylent,Manufacturing,Closed Won,North America,Alice,Security Package,186433,88,2024-05-01,2024-06-26
119,Umbrella,Manufacturing,Closed Lost,Middle East,David,Security Package,198079,29,2024-01-11,2024-02-16
120,Initech,Finance,Closed Won,North America,Eva,Cloud Platform,24217,91,2024-02-17,2024-05-30
121,Wayne Enterprises,Technology,Proposal,Middle East,Eva,CRM System,97086,80,2024-01-24,2024-03-19
122,Wayne Enterprises,Technology,Proposal,Asia,Eva,AI Module,147592,43,2024-02-26,2024-03-14
123,Hooli,Technology,Prospecting,South America,Eva,Cloud Platform,27283,87,2024-06-15,2024-06-28
124,Hooli,Retail,Closed Lost,Asia,David,AI Module,111020,96,2024-05-12,2024-06-16
125,Hooli,Manufacturing,Prospecting,Europe,Bob,Security Package,15979,53,2024-06-24,2024-09-07
126,Acme Corp,Manufacturing,Qualification,Middle East,David,AI Module,96341,10,2024-10-09,2024-11-16
127,Globex,Healthcare,Qualification,Middle East,David,CRM System,65156,67,2024-07-18,2024-10-15
128,Hooli,Healthcare,Qualification,Asia,Alice,Analytics Suite,140432,32,2024-09-01,2024-11-21
129,Globex,Retail,Qualification,South America,Alice,AI Module,120007,24,2024-08-31,2024-10-28
130,Umbrella,Retail,Closed Won,South America,David,Analytics Suite,60270,79,2024-03-31,2024-07-21
131,Acme Corp,Manufacturing,Prospecting,Asia,Charlie,CRM System,181857,20,2024-01-26,2024-04-16
132,Wayne Enterprises,Healthcare,Qualification,South America,Bob,Cloud Platform,101886,77,2024-10-24,2025-02-08
133,Hooli,Finance,Proposal,Europe,Eva,AI Module,193500,14,2024-01-21,2024-02-06
134,Stark Industries,Technology,Closed Won,North America,Eva,AI Module,197772,62,2024-06-08,2024-09-08
135,Acme Corp,Manufacturing,Prospecting,Middle East,Eva,AI Module,193859,70,2024-09-04,2024-10-18
136,Globex,Finance,Closed Lost,Middle East,Alice,AI Module,171951,62,2024-07-01,2024-08-17
137,Initech,Retail,Closed Won,Middle East,Alice,Analytics Suite,167512,73,2024-05-10,2024-08-29
138,Soylent,Technology,Negotiation,North America,Bob,CRM System,191834,15,2024-05-12,2024-08-29
139,Initech,Retail,Qualification,Europe,Frank,Analytics Suite,53878,21,2024-01-29,2024-05-22
140,Acme Corp,Healthcare,Proposal,Asia,Bob,Security Package,77919,70,2024-09-26,2024-10-23
141,Hooli,Finance,Closed Lost,South America,David,Security Package,163446,23,2024-01-26,2024-05-22
142,Umbrella,Technology,Prospecting,South America,Alice,Cloud Platform,68843,22,2024-04-23,2024-07-05
143,Initech,Technology,Closed Won,North America,Eva,Cloud Platform,31747,17,2024-03-23,2024-04-24
144,Initech,Retail,Prospecting,Middle East,David,AI Module,96422,66,2024-01-23,2024-03-09
145,Hooli,Manufacturing,Negotiation,South America,Charlie,Security Package,104331,15,2024-04-19,2024-05-17
146,Acme Corp,Finance,Proposal,Asia,Charlie,Analytics Suite,39826,67,2024-02-09,2024-05-02
147,Wayne Enterprises,Technology,Closed Lost,South America,Frank,CRM System,109736,20,2024-05-25,2024-06-09
148,Hooli,Technology,Closed Won,Middle East,Bob,Security Package,30749,40,2024-03-07,2024-03-24
149,Globex,Healthcare,Closed Lost,Asia,Alice,Security Package,189233,13,2024-06-04,2024-07-06
150,Wayne Enterprises,Finance,Negotiation,Middle East,Alice,Analytics Suite,163586,71,2024-03-19,2024-04-15
151,Acme Corp,Finance,Proposal,Middle East,Charlie,Security Package,30953,11,2024-06-09,2024-07-29
152,Initech,Technology,Qualification,North America,Bob,Analytics Suite,74857,53,2024-04-29,2024-07-29
153,Initech,Finance,Prospecting,Middle East,Bob,Analytics Suite,98363,26,2024-06-01,2024-09-11
154,Umbrella,Finance,Negotiation,Asia,Alice,Analytics Suite,24660,49,2024-03-19,2024-05-30
155,Initech,Technology,Closed Lost,North America,Frank,Analytics Suite,165959,27,2024-01-15,2024-04-22
156,Wayne Enterprises,Technology,Closed Lost,North America,Alice,Security Package,112060,62,2024-08-24,2024-10-05
157,Wayne Enterprises,Retail,Prospecting,Asia,Charlie,Security Package,196938,62,2024-08-05,2024-10-02
158,Umbrella,Retail,Prospecting,North America,Frank,CRM System,15073,17,2024-03-28,2024-07-15
159,Initech,Retail,Negotiation,Asia,Eva,Cloud Platform,138610,28,2024-09-22,2024-10-30
160,Globex,Retail,Negotiation,South America,Bob,CRM System,64870,31,2024-04-14,2024-05-19
161,Initech,Finance,Closed Won,North America,Alice,Analytics Suite,154852,32,2024-03-03,2024-04-11
162,Stark Industries,Healthcare,Proposal,South America,Frank,AI Module,167985,40,2024-01-11,2024-02-18
163,Umbrella,Technology,Closed Lost,North America,Frank,CRM System,61081,78,2024-03-20,2024-06-25
164,Stark Industries,Technology,Qualification,Middle East,Bob,AI Module,14102,13,2024-09-17,2024-11-28
165,Umbrella,Manufacturing,Proposal,Asia,Frank,AI Module,19139,59,2024-09-12,2024-12-04
166,Umbrella,Healthcare,Closed Lost,Middle East,Eva,Security Package,152260,19,2024-06-10,2024-10-07
167,Initech,Healthcare,Closed Lost,South America,Charlie,Analytics Suite,81385,19,2024-07-21,2024-10-12
168,Stark Industries,Technology,Qualification,Asia,Eva,Cloud Platform,25246,44,2024-02-23,2024-05-17
169,Umbrella,Healthcare,Qualification,Asia,Charlie,Cloud Platform,57468,86,2024-06-11,2024-07-12
170,Soylent,Manufacturing,Closed Won,South America,Bob,Cloud Platform,28896,58,2024-06-24,2024-07-26
171,Globex,Finance,Proposal,Asia,David,Cloud Platform,46866,59,2024-02-04,2024-05-15
172,Initech,Retail,Negotiation,Asia,Bob,Cloud Platform,173579,18,2024-10-01,2024-10-15
173,Umbrella,Manufacturing,Prospecting,North America,David,AI Module,178041,34,2024-01-06,2024-03-10
174,Stark Industries,Retail,Closed Lost,Europe,Frank,AI Module,126888,46,2024-10-10,2025-01-31
175,Globex,Technology,Closed Won,Middle East,Bob,AI Module,152341,19,2024-05-27,2024-06-18
176,Initech,Finance,Closed Won,Europe,Frank,Analytics Suite,34873,16,2024-04-27,2024-07-11
177,Globex,Manufacturing,Closed Won,Asia,Eva,CRM System,178440,18,2024-03-21,2024-04-12
178,Soylent,Healthcare,Negotiation,Europe,Charlie,Security Package,10870,91,2024-04-09,2024-05-09
179,Initech,Finance,Closed Lost,North America,Bob,AI Module,128220,83,2024-10-24,2024-11-16
180,Stark Industries,Manufacturing,Prospecting,South America,Frank,Analytics Suite,17843,67,2024-05-19,2024-06-24
181,Umbrella,Finance,Qualification,South America,Alice,Analytics Suite,34915,11,2024-08-27,2024-11-10
182,Acme Corp,Technology,Closed Lost,Europe,Charlie,Security Package,163679,46,2024-10-20,2025-02-04
183,Umbrella,Healthcare,Negotiation,North America,Eva,Cloud Platform,167906,10,2024-02-08,2024-02-23
184,Initech,Retail,Proposal,South America,Bob,Analytics Suite,84305,68,2024-09-27,2024-11-22
185,Umbrella,Retail,Proposal,Europe,Frank,CRM System,17129,51,2024-07-22,2024-10-14
186,Acme Corp,Retail,Negotiation,Europe,Charlie,CRM System,162018,88,2024-09-23,2024-11-07
187,Acme Corp,Manufacturing,Closed Won,Middle East,Alice,CRM System,43313,64,2024-08-03,2024-11-25
188,Stark Industries,Finance,Negotiation,North America,Charlie,Analytics Suite,36727,36,2024-05-15,2024-06-19
189,Acme Corp,Healthcare,Closed Lost,Middle East,Bob,Analytics Suite,196647,44,2024-08-03,2024-09-29
190,Stark Industries,Healthcare,Prospecting,Europe,Alice,Analytics Suite,170128,79,2024-03-29,2024-04-08
191,Umbrella,Manufacturing,Closed Lost,Middle East,Bob,Analytics Suite,25913,17,2024-05-25,2024-06-25
192,Stark Industries,Healthcare,Qualification,Middle East,David,CRM System,18649,92,2024-09-29,2024-10-16
193,Initech,Healthcare,Qualification,Europe,Charlie,Security Package,34534,25,2024-04-30,2024-05-12
194,Umbrella,Finance,Qualification,South America,Frank,Security Package,192777,39,2024-10-11,2024-10-25
195,Acme Corp,Finance,Closed Lost,Asia,Alice,Analytics Suite,132162,90,2024-01-22,2024-03-28
196,Soylent,Finance,Qualification,South America,Bob,CRM System,134309,71,2024-07-29,2024-09-11
197,Acme Corp,Manufacturing,Closed Won,North America,David,Security Package,132221,60,2024-01-12,2024-03-16
198,Hooli,Manufacturing,Closed Lost,South America,Bob,CRM System,120920,13,2024-08-04,2024-09-05
199,Stark Industries,Manufacturing,Closed Lost,Europe,Bob,Analytics Suite,59920,59,2024-03-30,2024-06-27
200,Acme Corp,Healthcare,Proposal,Middle East,Charlie,Analytics Suite,37375,79,2024-08-18,2024-09-18
201,Hooli,Retail,Proposal,North America,Charlie,AI Module,154796,44,2024-01-16,2024-05-14
202,Initech,Healthcare,Negotiation,North America,David,Analytics Suite,69349,98,2024-10-20,2024-11-01
203,Umbrella,Finance,Qualification,North America,Frank,CRM System,88643,63,2024-04-07,2024-07-05
204,Stark Industries,Retail,Proposal,Middle East,Charlie,Analytics Suite,144499,52,2024-01-22,2024-03-24
205,Initech,Technology,Prospecting,South America,Alice,Cloud Platform,25588,44,2024-03-18,2024-04-20
206,Umbrella,Retail,Negotiation,Middle East,Frank,AI Module,96407,84,2024-04-04,2024-07-17
207,Hooli,Finance,Closed Won,Asia,David,Analytics Suite,64405,76,2024-03-25,2024-05-19
208,Acme Corp,Finance,Proposal,North America,Charlie,Analytics Suite,172577,75,2024-06-04,2024-08-14
209,Acme Corp,Finance,Qualification,Europe,Frank,AI Module,60038,74,2024-08-14,2024-09-11
210,Acme Corp,Finance,Closed Won,Middle East,Eva,Cloud Platform,18541,53,2024-04-03,2024-05-10
211,Umbrella,Technology,Prospecting,North America,Alice,AI Module,96856,21,2024-01-03,2024-04-04
212,Wayne Enterprises,Retail,Prospecting,Middle East,Bob,CRM System,185107,81,2024-10-17,2024-11-05
213,Acme Corp,Technology,Prospecting,Middle East,Alice,CRM System,38070,45,2024-08-31,2024-11-18
214,Initech,Healthcare,Closed Won,South America,Alice,Cloud Platform,160778,27,2024-03-14,2024-06-30
215,Initech,Retail,Closed Lost,Middle East,Frank,Analytics Suite,42466,82,2024-03-27,2024-04-29
216,Acme Corp,Healthcare,Proposal,Europe,Alice,AI Module,182409,47,2024-07-08,2024-09-27
217,Soylent,Healthcare,Proposal,Asia,Eva,Security Package,172368,42,2024-04-07,2024-05-17
218,Umbrella,Healthcare,Closed Lost,Asia,Alice,Cloud Platform,66779,75,2024-06-04,2024-09-25
219,Soylent,Finance,Closed Lost,Middle East,Eva,AI Module,169251,14,2024-04-13,2024-08-08
220,Hooli,Retail,Qualification,Middle East,Eva,AI Module,70273,91,2024-03-31,2024-04-19
221,Stark Industries,Manufacturing,Closed Lost,Middle East,Charlie,Cloud Platform,81505,69,2024-04-11,2024-07-12
222,Acme Corp,Retail,Closed Won,Asia,Eva,Security Package,128244,91,2024-04-26,2024-05-26
223,Soylent,Finance,Proposal,Middle East,Eva,CRM System,15148,46,2024-06-08,2024-09-06
224,Umbrella,Retail,Closed Lost,South America,Frank,CRM System,151328,74,2024-10-21,2025-02-17
225,Hooli,Finance,Negotiation,Middle East,Frank,Analytics Suite,113172,93,2024-02-29,2024-06-25
226,Umbrella,Retail,Qualification,Europe,David,Analytics Suite,35516,35,2024-06-05,2024-09-09
227,Soylent,Retail,Proposal,Europe,Eva,CRM System,176255,39,2024-05-15,2024-06-11
228,Stark Industries,Healthcare,Negotiation,Asia,Frank,Security Package,192114,17,2024-09-28,2025-01-08
229,Hooli,Technology,Qualification,Europe,Alice,Cloud Platform,100800,16,2024-02-04,2024-05-16
230,Globex,Retail,Prospecting,Asia,Bob,AI Module,37498,41,2024-05-21,2024-07-14
231,Hooli,Manufacturing,Prospecting,Europe,Eva,Analytics Suite,160585,69,2024-03-29,2024-04-25
232,Umbrella,Technology,Negotiation,Asia,Eva,CRM System,29645,77,2024-06-30,2024-08-20
233,Acme Corp,Manufacturing,Prospecting,North America,Charlie,AI Module,22580,14,2024-09-04,2024-09-23
234,Acme Corp,Retail,Negotiation,Europe,Frank,Cloud Platform,116957,11,2024-06-20,2024-07-23
235,Acme Corp,Finance,Qualification,Middle East,Charlie,Cloud Platform,97922,86,2024-02-27,2024-05-24
236,Hooli,Retail,Proposal,Asia,Alice,Analytics Suite,132896,18,2024-08-14,2024-11-03
237,Hooli,Healthcare,Qualification,Asia,David,Analytics Suite,198672,73,2024-03-29,2024-07-07
238,Stark Industries,Finance,Negotiation,South America,Frank,Security Package,30068,43,2024-05-29,2024-07-04
239,Globex,Manufacturing,Closed Won,North America,Eva,Cloud Platform,109570,43,2024-08-31,2024-09-29
240,Acme Corp,Retail,Closed Won,North America,Bob,CRM System,188664,39,2024-02-09,2024-04-26
241,Soylent,Retail,Closed Lost,Middle East,Eva,Cloud Platform,190722,39,2024-06-20,2024-08-25
242,Globex,Finance,Closed Lost,Asia,Frank,Cloud Platform,54566,96,2024-05-04,2024-05-22
243,Stark Industries,Retail,Closed Lost,North America,David,Security Package,62632,73,2024-05-24,2024-07-19
244,Hooli,Technology,Negotiation,North America,Frank,Cloud Platform,164683,35,2024-01-06,2024-03-28
245,Hooli,Manufacturing,Prospecting,South America,David,CRM System,166977,66,2024-01-21,2024-02-02
246,Umbrella,Retail,Negotiation,Middle East,Frank,Security Package,123645,77,2024-10-10,2024-10-25
247,Globex,Retail,Closed Lost,Middle East,Bob,Cloud Platform,94940,50,2024-08-01,2024-08-25
248,Acme Corp,Finance,Proposal,North America,Alice,Analytics Suite,10457,23,2024-07-17,2024-08-29
249,Acme Corp,Healthcare,Qualification,Europe,Eva,AI Module,36870,54,2024-10-06,2024-12-23
250,Soylent,Manufacturing,Negotiation,South America,Eva,Cloud Platform,155673,34,2024-08-28,2024-12-13
251,Umbrella,Technology,Closed Lost,Europe,Charlie,CRM System,78035,58,2024-08-19,2024-12-11
252,Umbrella,Technology,Proposal,South America,Alice,CRM System,76545,35,2024-07-02,2024-09-15
253,Globex,Finance,Closed Won,Europe,Bob,Analytics Suite,114219,70,2024-02-01,2024-04-02
254,Stark Industries,Technology,Negotiation,Middle East,Eva,Cloud Platform,167389,47,2024-02-22,2024-04-15
255,Hooli,Healthcare,Prospecting,Asia,Frank,Cloud Platform,115891,41,2024-05-05,2024-05-18
256,Wayne Enterprises,Retail,Closed Lost,Middle East,Frank,Cloud Platform,159978,25,2024-06-19,2024-10-12
257,Hooli,Manufacturing,Negotiation,North America,Frank,CRM System,161019,96,2024-09-01,2024-11-02
258,Wayne Enterprises,Retail,Closed Lost,Europe,David,Security Package,80873,21,2024-08-15,2024-11-21
259,Acme Corp,Finance,Closed Won,North America,Alice,Security Package,145233,27,2024-08-07,2024-08-21
260,Acme Corp,Retail,Closed Lost,Middle East,David,Analytics Suite,15395,38,2024-08-15,2024-09-20
261,Wayne Enterprises,Healthcare,Closed Lost,Europe,Frank,CRM System,86879,53,2024-09-14,2024-10-24
262,Globex,Technology,Proposal,South America,David,AI Module,9031,30,2024-05-01,2024-06-16
263,Initech,Manufacturing,Negotiation,Asia,Eva,Analytics Suite,108401,46,2024-10-21,2024-12-16
264,Acme Corp,Healthcare,Negotiation,Middle East,Bob,Security Package,10683,18,2024-05-30,2024-08-21
265,Stark Industries,Finance,Closed Lost,Middle East,Bob,AI Module,37315,57,2024-06-08,2024-06-25
266,Wayne Enterprises,Manufacturing,Prospecting,Asia,Bob,Analytics Suite,158252,15,2024-03-30,2024-05-07
267,Umbrella,Retail,Negotiation,Middle East,Eva,Analytics Suite,185912,40,2024-09-15,2025-01-11
